dosya_yolu,tip,locale,mevcut_title,h1_var_mi
"app/(auth)/login/page.tsx","tsx","unknown","Giriş","EVET"
"app/(blog)/blog/page.tsx","tsx","unknown","${copy.title} | ${brandContent.siteName}","EVET"
"app/(blog)/blog/[slug]/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/basic-engineering/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/bearing-life/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/belt-length/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/bending-stress/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/bolt-calculator/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/bolt-database/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/bolt-size-torque/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/coating-guide/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/compressor-cc/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/fillet-weld/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/fluids-hvac/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/backlash-calculator/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/contact-ratio-calculator/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/force-torque-calculator/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/helix-axial-calculator/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/module-calculator/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/ratio-calculator/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/viscosity-selector/page.tsx","tsx","unknown","","EVET"
"app/(tools)/tools/gear-design/calculators/weight-optimization/page.tsx","tsx","unknown","","EVET"
